Period,Asset,N,Omega,Omega SE,Alpha (Shock),Alpha SE,Beta (Persistence),Beta SE,Gamma (Leverage),Gamma SE,Gamma P-Value,Nu (t d.o.f.),Nu SE,Log-Likelihood,AIC,ARCH-LM P-Value,Significant Leverage?,Converged,Plausible Region
Recovery,Energy,598,0.0033210941524977845,2.0229495933576826e-07,-0.05965502587482398,0.003557159552514259,0.9911044353275225,4.138245857869409e-07,-0.04365086264628893,6.489587837112816e-05,0.0,4.650327137032221,0.6927844212476003,-1043.5070144876972,2099.0140289753945,0.6057007976749444,Yes,True,True
Pre-Crisis,"Food,_Beverage_and_Tobacco",726,0.04615995379374298,0.025201206396538153,0.3876190931449357,0.07040908192486055,0.9470580118897721,0.021428478894006193,-0.005467459146761004,0.03204123503967604,0.864508247531273,3.8478564948082226,0.5447210819949778,-968.4722133380108,1948.9444266760215,0.20917830036101004,No,True,True
Crisis,"Food,_Beverage_and_Tobacco",234,0.01789746113935337,1.4288898788131346e-06,-0.18651450202564604,3.373350567480225e-06,0.9736856268469923,5.313349472040474e-06,-0.12064509471722126,2.6292927282480177e-07,0.0,12.682280025277052,1.094297032114966,-454.9411185731826,921.8822371463652,0.2941869980733085,Yes,True,True
Recovery,"Food,_Beverage_and_Tobacco",598,-0.029099574767455234,0.04922818029093584,0.2320968950517191,0.11316808473400757,0.7077567556117563,0.3371214825738762,-0.12100032573967073,0.10900011687788964,0.2669587201343466,7.183525581113699,1.9292663561881473,-795.458351953644,1602.916703907288,0.9559251837213706,No,True,True
Pre-Crisis,Healthcare_Equipment_and_Services,726,0.3380048734441198,0.11655072274336913,0.6620075485418156,0.1307655096879651,0.828053012907047,0.0676458013481197,-0.022142126048378247,0.07565650396253346,0.769777059836309,3.0228657449384486,0.4055047897407988,-1356.1373831988058,2724.2747663976115,0.9795251719705649,No,True,True
Crisis,Healthcare_Equipment_and_Services,234,0.030918464555486833,1.9836755769544063e-08,-0.13389825318651405,0.0002628232253608781,0.9820308194347068,1.014740036390432e-07,-0.10866855783317576,4.493202937560693e-05,0.0,9.376735694331487,0.524963742860796,-534.3679901364387,1080.7359802728774,0.7062477537433234,Yes,True,True
Recovery,Healthcare_Equipment_and_Services,598,0.19937664863484797,0.07962080356398586,0.18195746280913408,0.08244315405059717,0.6996516799784019,0.1178339636900849,-0.08909129889490464,0.06814800035205788,0.19110378014076135,6.862561918783316,2.0795368524513975,-1024.1862343787877,2060.3724687575755,0.9465905090130717,No,True,True
Pre-Crisis,Insurance,726,2.1448039332901145,0.6189618538775554,2.431006483726697,0.5468684985167757,0.7451512104737152,0.09450368781607922,-0.14258042270093332,0.2680618153127551,0.5947995384221982,2.05,0.017110717769090712,-1102.04639072088,2216.09278144176,0.9999989900225159,No,True,True
Crisis,Insurance,234,0.4588802840512471,0.18867151701068893,0.31497747686548583,0.1312973052908904,0.7998936272065282,0.07632762724693665,-0.4907889370222615,0.12178315799432962,5.577137743533536e-05,6.242290206275651,1.9862806090274823,-592.8099029748648,1197.6198059497297,0.7778963660606774,Yes,True,True
Recovery,Insurance,598,1.0280510911018454,0.3480753458514841,1.1661455515663215,0.2306260918282557,0.5484322481372762,0.10836097528150672,0.0677591075937457,0.10426804335239377,0.515785898660092,2.640711940977209,0.3273275008737597,-1161.4490194083264,2334.898038816653,0.14474641773669664,No,True,True
Pre-Crisis,Materials,726,0.08796946265367889,0.032741779466007294,0.4100853469715701,0.05959181073148512,0.9451760976468229,0.01826439075922751,-0.017199146781997156,0.03172649440371352,0.5877449687212248,4.247612923641406,0.7302117299821999,-1320.4635015161061,2652.9270030322123,0.888539218833575,No,True,True
Crisis,Materials,234,0.11158805489366129,0.11042167048736881,0.41549074093701266,0.20235648610535376,0.934703014225628,0.06381849618394297,-0.10115902910700934,0.04240768331631878,0.017060842877806705,10.044754738971434,7.216003193209927,-516.1931545793029,1044.3863091586059,0.7544183015441218,Yes,True,True
Recovery,Materials,598,0.00033774582040784466,0.01683629016450031,0.32919407601956846,0.08931111872039159,0.8895514413741696,0.05726362631891402,-0.06663495181292377,0.04056425491962082,0.100444762335334,11.267058938801174,4.148647299403962,-830.1680096947717,1672.3360193895435,0.917168488793707,No,True,True
Pre-Crisis,Real_Estate_Management_and_Development,726,0.07863151759978097,0.03621392599677612,0.29997934988386316,0.08725233234814066,0.9455321358156908,0.02838482539989101,-0.04755680314052974,0.037283340716089866,0.20211427910949042,3.6404552618772223,0.4889039056961376,-1213.0176418076016,2438.0352836152033,0.4340348862565666,No,True,True
Crisis,Real_Estate_Management_and_Development,234,0.09744976059634626,0.11636559168466992,0.1808929425960608,0.18725510288795782,0.9193586299766703,0.0863459914529873,-0.08633445062931841,0.08060989741079064,0.2841624544582081,8.371018467318395,3.7288367294889975,-475.7554393285203,963.5108786570406,0.9814158261734969,No,True,True
Recovery,Real_Estate_Management_and_Development,598,0.3782929395147785,0.29102060829582105,0.30003519914803095,0.22941429124557428,0.5406471612029632,0.33784458033579623,0.020656770639356753,0.10402347715964148,0.8425928899580013,3.9396221174291313,0.9341728743786994,-1031.6608221783224,2075.321644356645,0.9999979963285583,No,True,True
Pre-Crisis,Retailing,726,0.09755657950378363,0.03872720119595823,0.3622582077248621,0.08179758155437798,0.9446064051542918,0.024621817622087608,-0.0065739251453929455,0.03941024412709848,0.8675215002914464,3.961162481122492,0.5671064207079437,-1358.790831135509,2729.581662271018,0.4930474420058618,No,True,True
Crisis,Retailing,234,0.11185715402867143,0.057635193812327894,0.2607923789221989,0.07940785892608218,0.9408327562558287,0.02990444488885352,-0.11535449888377275,0.06540185968199042,0.0777690084553737,3.9653246036602203,0.9600349024758286,-504.96250099493125,1021.9250019898625,0.9126163662406565,No,True,True
Recovery,Retailing,598,-0.0010140379362600508,8.618331424352236e-08,-0.05176861337348047,0.0005287071377705365,0.9965028928698051,6.776997488059e-07,0.016445413806477127,0.0005702952995049221,7.447252095907888e-183,5.200020594092098,0.3598775846733895,-1020.3962609502331,2052.7925219004665,8.719728436981985e-05,No,True,True
Pre-Crisis,Telecommunication_Services,726,0.0656576290381078,0.03227058161239342,0.28309641070165775,0.0734731313307526,0.9412159345643486,0.031045516994695713,-0.03338440156287924,0.037595325307953176,0.3745442898183029,4.231692502570374,0.6757476299813656,-1219.3447592420503,2450.6895184841005,0.8774692877951654,No,True,True
Crisis,Telecommunication_Services,234,0.8966201482983251,0.20584650601848026,0.7799247806322048,0.19367208707620343,0.35284755560047304,0.12491868756222978,0.1862119504059293,0.11041328399874209,0.09169962756685315,7.403201678247523,3.3399996712611886,-485.2184471340448,982.4368942680896,0.4753020421976649,No,True,True
Recovery,Telecommunication_Services,598,0.6061129945916778,0.17099138754814094,0.42613727012489766,0.09754202926564233,0.18065794282646655,0.18371011562811787,0.23026150673162987,0.0692581183569858,0.0008851811987381273,4.160792329783216,0.666696116068554,-1013.4903182240196,2038.9806364480391,0.3828312988130436,No,True,True
